subject,date,eid,ROI
ZFM-06272,2023-10-05,e1e48c2e-55f4-4390-a0b3-2ff6b85e736d,Region5G
ZFM-06275,2023-07-12,d59084b8-6b52-492c-bb5f-5a5ca38ab2ed,Region4G
ZFM-06268,2023-08-24,fd54fd05-3a96-43cd-9967-a7f8500a888b,Region3G
ZFM-06272,2023-08-15,a2306ee2-d845-4b73-abf0-cf1faf35be7d,Region4G
ZFM-04022,2022-04-01,36c701f5-ddfb-4aee-bcde-5a6007f58243,Region6G
ZFM-03061,2021-10-12,5ca239fe-e7aa-4a90-920c-bb54e6612ba4,Region4G
ZFM-05236,2023-04-04,4590ea45-e39a-45cd-925c-542d4a5eb97b,Region5G
ZFM-03061,2021-10-28,8dcdea72-afb1-4e3b-9e2e-0424a795adf2,Region6G
ZFM-06268,2023-07-13,02afad27-9f6a-4917-a178-5261268ab89e,Region3G
ZFM-06171,2023-07-12,f2796bdf-5d09-4743-897e-1761504b37b7,Region4G
ZFM-03061,2021-09-09,b056ded5-b123-47eb-a62a-620fd79b130d,Region6G
ZFM-03448,2022-03-25,d034a032-26ba-4b93-8ee8-c52e8b08db2b,Region5G
ZFM-05236,2023-03-03,1f585edf-0e43-46f4-9069-b4ed61c32c0f,Region3G
ZFM-03450,2021-11-10,b8ecc27a-f37b-4ee0-9081-1bf3afe9626d,Region4G
ZFM-06275,2023-08-17,3e38c877-e895-4374-ac41-73bf38864660,Region5G
ZFM-03059,2022-03-31,a2e65766-0f40-46dd-91cf-b56540cb033b,Region5G
ZFM-05245,2023-03-22,16aa7570-578f-4daa-8244-844716fb1320,Region4G
ZFM-05236,2023-03-16,0cfad1ba-d410-4e78-be5e-2a817bc9ca48,Region3G
ZFM-06271,2023-08-18,21c5fdbc-1964-484f-8925-c71891610041,Region3G
ZFM-03059,2021-09-14,f869242e-d1f9-4b7e-a83d-7c794ca6ebbe,Region1G
ZFM-03447,2022-04-01,a4646257-d6b7-450b-84f9-49ce09a07402,Region6G
ZFM-03062,2021-09-15,619cbbfc-299a-4cdf-92ab-e81c9ef6fbfe,Region4G
ZFM-06305,2023-07-24,cb7d4951-a7fc-46d1-9e78-6a43d5a576e4,Region4G
